rank,city,total,urban,rural,year,rate
80,Tunceli,86.527,55.935,30.592,2014,%65 %35
52,UÅak,349.459,242.889,106.570,2014,%70 %31
19,Van,1.085.542,1.085.542,[not 1],2014,%100 %0
68,Yalova,226.514,160.803,65.711,2014,%71 %29
44,Yozgat,432.560,265.792,166.768,2014,%61 %39
33,Zonguldak,598.796,359.910,238.886,2014,%60 %40
6,Adana,2.183.167,2.183.167,[not 1],2015,%100 %0
33,AdÄ±yaman,602.774,393.472,209.302,2015,%65 %35
31,Afyonkarahisar,709.015,410.322,298.693,2015,%58 %42
39,AÄrÄ±,547.210,306.352,240.858,2015,%56 %44
49,Aksaray,386.514,250.827,135.687,2015,%65 %35
57,Amasya,322.167,226.432,95.735,2015,%70 %30
2,Ankara,5.270.575,5.270.575,[not 1],2015,%100 %0
5,Antalya,2.288.456,2.288.456,[not 1],2015,%100 %0
79,Ardahan,99.265,36.582,62.683,2015,%37 %63
76,Artvin,168.370,99.359,69.011,2015,%59 %41
20,AydÄ±n,1.053.506,1.053.506,[not 1],2015,%100 %0
17,BalÄ±kesir,1.186.688,1.186.688,[not 1],2015,%100 %0
74,BartÄ±n,190.708,77.827,112.881,2015,%41 %59
38,Batman,566.633,444.209,122.424,2015,%78 %22
81,Bayburt,78.550,46.276,32.274,2015,%59 %41
71,Bilecik,212.361,167.692,44.669,2015,%79 %21
64,BingÃ¶l,267.184,160.614,106.570,2015,%60 %40
55,Bitlis,340.449,194.928,145.521,2015,%57 %43
60,Bolu,291.095,203.696,87.399,2015,%70 %30
65,Burdur,258.339,171.237,87.102,2015,%66 %34
4,Bursa,2.842.547,2.842.547,[not 1],2015,%100 %0
41,Ãanakkale,513.341,302.186,211.155,2015,%59 %41
75,ÃankÄ±rÄ±,180.945,126.058,54.887,2015,%70 %30
40,Ãorum,525.180,381.303,143.877,2015,%73 %27
21,Denizli,993.442,993.442,[not 1],2015,%100 %0
12,DiyarbakÄ±r,1.654.196,1.654.196,[not 1],2015,%100 %0
51,DÃ¼zce,360.388,224.282,136.106,2015,%62 %38
48,Edirne,402.537,289.433,113.104,2015,%72 %28
36,ElazÄ±Ä,574.304,438.846,135.458,2015,%76 %24
70,Erzincan,222.918,127.176,95.742,2015,%57 %43
29,Erzurum,762.321,762.321,[not 1],2015,%100 %0
25,EskiÅehir,826.716,826.716,[not 1],2015,%100 %0
8,Gaziantep,1.931.836,1.931.836,[not 1],2015,%100 %0
44,Giresun,426.686,275.554,151.132,2015,%65 %35
77,GÃ¼mÃ¼Åhane,151.449,99.508,51.941,2015,%66 %34
62,HakkÃ¢ri,278.775,152.790,125.985,2015,%55 %45
13,Hatay,1.533.507,1.533.507,[not 1],2015,%100 %0
73,IÄdÄ±r,192.435,107.320,85.115,2015,%56 %44
45,Isparta,421.766,300.255,121.511,2015,%71 %29
1,Ä°stanbul,14.657.434,14.657.434,[not 1],2015,%100 %0
3,Ä°zmir,4.168.415,4.168.415,[not 1],2015,%100 %0
18,KahramanmaraÅ,1.096.610,1.096.610,[not 1],2015,%100 %0
67,KarabÃ¼k,236.978,183.141,53.837,2015,%77 %23
66,Karaman,242.196,175.790,66.406,2015,%73 %27
59,Kars,292.660,133.334,159.326,2015,%46 %54
50,Kastamonu,372.633,226.868,145.765,2015,%61 %39
15,Kayseri,1.341.056,1.341.056,[not 1],2015,%100 %0
78,Kilis,130.655,97.411,33.244,2015,%75 %25
63,KÄ±rÄ±kkale,270.271,235.575,34.696,2015,%87 %13
53,KÄ±rklareli,346.973,243.018,103.955,2015,%70 %30
69,KÄ±rÅehir,225.562,173.222,52.340,2015,%77 %23
10,Kocaeli,1.780.055,1.780.055,[not 1],2015,%100 %0
7,Konya,2.130.544,2.130.544,[not 1],2015,%100 %0
37,KÃ¼tahya,571.463,393.115,178.348,2015,%69 %31
27,Malatya,772.904,772.904,[not 1],2015,%100 %0
14,Manisa,1.380.366,1.380.366,[not 1],2015,%100 %0
26,Mardin,796.591,796.591,[not 1],2015,%100 %0
11,Mersin,1.745.221,1.745.221,[not 1],2015,%100 %0
24,MuÄla,908.877,908.877,[not 1],2015,%100 %0
47,MuÅ,408.728,163.040,245.688,2015,%40 %60
61,NevÅehir,286.767,174.195,112.572,2015,%61 %39
54,NiÄde,346.114,189.670,156.444,2015,%55 %45
30,Ordu,728.949,728.949,[not 1],2015,%100 %0
42,Osmaniye,512.873,388.158,124.715,2015,%76 %24
56,Rize,328.979,215.596,113.383,2015,%66 %34
22,Sakarya,953.181,953.181,[not 1],2015,%100 %0
16,Samsun,1.279.884,1.279.884,[not 1],2015,%100 %0
9,ÅanlÄ±urfa,1.892.320,1.892.320,[not 1],2015,%100 %0
58,Siirt,320.351,204.023,116.328,2015,%64 %36
72,Sinop,204.133,115.114,89.019,2015,%56 %44
43,ÅÄ±rnak,490.184,304.228,185.956,2015,%62 %38
32,Sivas,618.617,451.930,166.687,2015,%73 %27
23,TekirdaÄ,937.910,937.910,[not 1],2015,%100 %0
35,Tokat,593.990,379.869,214.121,2015,%64 %36
28,Trabzon,768.417,768.417,[not 1],2015,%100 %0
80,Tunceli,86.076,56.401,29.675,2015,%66 %34
52,UÅak,353.048,248.683,104.365,2015,%70 %30
19,Van,1.096.397,1.096.397,[not 1],2015,%100 %0
68,Yalova,233.009,167.558,65.451,2015,%72 %28
46,Yozgat,419.440,262.864,156.576,2015,%63 %37
34,Zonguldak,595.907,363.707,232.200,2015,%61 %39
6,Adana,2.201.670,2.201.670,[not 1],2016,%100 %0
33,AdÄ±yaman,610.484,404.702,205.782,2016,%66 %34
31,Afyonkarahisar,714.523,417.851,296.672,2016,%58 %42
39,AÄrÄ±,542.255,305.406,236.849,2016,%56 %44
49,Aksaray,396.673,261.817,134.856,2016,%66 %34
57,Amasya,326.351,232.041,94.310,2016,%71 %29
2,Ankara,5.346.518,5.346.518,[not 1],2016,%100 %0
5,Antalya,2.328.555,2.328.555,[not 1],2016,%100 %0
79,Ardahan,98.335,38.181,60.154,2016,%39 %61
77,Artvin,168.068,99.826,68.242,2016,%59 %41
20,AydÄ±n,1.068.260,1.068.260,[not 1],2016,%100 %0
17,BalÄ±kesir,1.196.176,1.196.176,[not 1],2016,%100 %0
74,BartÄ±n,192.389,80.556,111.833,2016,%42 %58
37,Batman,576.899,453.730,123.169,2016,%79 %21
80,Bayburt,90.154,55.670,34.484,2016,%62 %38
71,Bilecik,218.297,174.671,43.626,2016,%80 %20
63,BingÃ¶l,269.560,167.917,101.643,2016,%62 %38
55,Bitlis,341.225,197.747,143.478,2016,%58 %42
59,Bolu,299.896,213.544,86.352,2016,%71 %29
65,Burdur,261.401,175.427,85.974,2016,%67 %33
4,Bursa,2.901.396,2.901.396,[not 1],2016,%100 %0
